"gid","rid","pid","fnm","lnm","htm","atm","dt","d","dc","g","rx","ry","lcx","lcy","dst","shtp","shza","shzb"
"0021300001",257,203090,"Maurice","Harkless","IND","ORL","2013-10-29","MISS Harkless 18' Jump Shot",1.553,-29.835,18.765,17.354,111,140,17,"JMP","RC","MR"
"0021300001",526,201588,"George","Hill","IND","ORL","2013-10-29","MISS G. Hill 18' Jump Shot",1.341,-31.813,72.49,22.218,4,184,18,"JMP","C","MR"
"0021300002",311,201565,"Derrick","Rose","MIA","CHI","2013-10-29","MISS Rose 40' 3PT Jump Shot",1.982,-28.524,49.621,14.077,29,403,40,"JMP","6","AB3"
"0021300002",363,2617,"Udonis","Haslem","MIA","CHI","2013-10-29","MISS Haslem 15' Jump Shot",1.978,-30.933,21.464,17.535,69,132,14,"JMP","C","PNT"
"0021300002",97,951,"Ray","Allen","MIA","CHI","2013-10-29","MISS Allen  3PT Jump Shot",2.845,-28.902,90.002,3.094,-224,0,22,"JMP","L","LC3"
"0021300004",262,2207,"Joe","Johnson","CLE","BKN","2013-10-30","MISS Johnson 20' Jump Shot",1.651,-32.013,73.108,40.705,103,176,20,"JMP","RC","MR"
"0021300004",560,201947,"Earl","Clark","CLE","BKN","2013-10-30","MISS Clark 19' Jump Shot",1.206,-31.7,70.293,18.662,-70,173,18,"JMP","LC","MR"
"0021300005",296,203487,"Michael","Carter-Williams","PHI","MIA","2013-10-30","MISS Carter-Williams 26' 3PT Jump Shot",1.523,-31.846,72.225,7.743,-157,205,25,"JMP","LC","AB3"
"0021300006",324,200752,"Rudy","Gay","TOR","BOS","2013-10-30","MISS Gay 15' Jump Shot",1.451,-30.727,90.475,40.283,154,4,15,"JMP","R","MR"
"0021300009",366,202689,"Kemba","Walker","HOU","CHA","2013-10-30","MISS Walker 13' Pullup Jump Shot",0.637,-31.441,9.607,11.106,118,61,13,"PUJ","R","MR"
"0021300009",479,201945,"Gerald","Henderson","HOU","CHA","2013-10-30","MISS Henderson 9' Turnaround Fadeaway Shot",1.403,-27.782,6.128,15.47,88,30,9,"TFS","R","MR"
"0021300010",412,203144,"Alexey","Shved","MIN","ORL","2013-10-30","MISS Shved 19' Jump Shot",1.417,-31.418,19.999,16.187,84,168,18,"JMP","RC","MR"
"0021300010",570,201567,"Kevin","Love","MIN","ORL","2013-10-30","MISS Love 13' Jump Shot",1.255,-34.534,18.678,35.164,-112,69,13,"JMP","L","MR"
